framework_id,name,also_known_as,jurisdiction,region,category,type,issuing_body,official_url,source_note,who_must_comply,scope_summary,key_obligations_summary,mandatory_vs_voluntary,certification_or_audit_required,typical_evidence_artifacts,renewal_or_reassessment_cadence,penalties_summary,overlaps_with,subordinate_controls_notes,last_verified_date,research_source_urls
soc2,SOC 2,SOC 2 Type I; SOC 2 Type II; Trust Services Criteria; TSC,United States,US,security,attestation,AICPA,https://www.aicpa-cima.com/topic/audit-assurance/audit-and-assurance-greater-than-soc-2,AICPA SOC 2 examination under the Trust Services Criteria; Type I and Type II are report variants of one program,B2B SaaS and technology service providers holding or processing customer data on behalf of business customers.,"Covers the service organization's system boundary and the Trust Services Criteria selected (security is required; availability, processing integrity, confidentiality and privacy are optional).","Management defines the system, asserts control design and operation, and engages a licensed CPA firm to examine controls against the AICPA Trust Services Criteria. Type 1 reports on design at a point in time; Type 2 reports on operating effectiveness over a period, commonly 3 to 12 months. The output is an attestation report rather than a pass/fail certificate.",voluntary,yes,policies|risk assessment|system description|control matrix|access reviews|change tickets|vendor reviews|penetration test|SOC 2 report,annual,"No statutory penalty; a qualified opinion, lapsed report or exceptions can breach customer contracts and stall or lose deals.",iso27001|hitrust-csf|csa-star|nist-csf|cis-controls,"Trust Services Criteria organized around control environment, communication, risk assessment, monitoring and control activities (COSO-aligned) plus logical access, operations, change management and risk mitigation criteria.",2026-08-20,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services|https://www.aicpa-cima.com/resources/download/2017-trust-services-criteria-with-revised-points-of-focus-2022
soc1,SOC 1,SSAE 18 SOC 1; ICFR report,United States,US,financial,attestation,AICPA,https://www.aicpa-cima.com/topic/audit-assurance/audit-and-assurance-greater-than-soc-1,AICPA attestation on controls relevant to user entities' internal control over financial reporting,"Service providers whose systems affect customers' financial reporting, such as payroll, payments and billing platforms.",Covers controls relevant to user entities' internal control over financial reporting (ICFR) for the described service.,Management describes the system and control objectives relevant to financial reporting and a CPA firm examines them under SSAE 18 (AT-C 320). Reports are issued as Type 1 (design) or Type 2 (design and operating effectiveness). User auditors rely on the report during their customers' financial audits.,voluntary,yes,system description|control objectives matrix|reconciliations|access reviews|change tickets|SOC 1 report,annual,No statutory penalty; a missing or qualified report can force customers' auditors to expand testing and can breach service contracts.,sox|soc2,"Control objectives are defined by the service organization around transaction processing, completeness, accuracy and IT general controls.",2026-08-20,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services
soc3,SOC 3,SOC 3 General Use Report; Trust Services Report for General Use,United States,US,security,attestation,AICPA,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,Public-facing general-use summary report derived from a SOC 2 examination,Organizations that already hold a SOC 2 and want a public-facing trust summary.,"Same scope as the underlying SOC 2 examination, presented as a general-use summary report.","A SOC 3 report is a general-use version of a SOC 2 Type 2 engagement without the detailed test procedures and results. It can be published or posted publicly, unlike restricted-use SOC 2 reports. It does not replace a SOC 2 report in security reviews.",voluntary,yes,SOC 3 report|SOC 2 Type 2 report|system description,annual,No statutory penalty; limited assurance value if buyers require the full SOC 2 report.,soc2,Derived from the same Trust Services Criteria as the underlying SOC 2 engagement.,2026-08-20,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services
iso27001,ISO/IEC 27001,ISO 27001; ISMS standard,Global,Global,security,certification,ISO/IEC,https://www.iso.org/standard/27001,Certifiable information security management system standard; current edition ISO/IEC 27001:2022,"Companies selling internationally or into ISO-preferring industries and geographies, and any organization wanting a certifiable security management system.","Applies to the information security management system (ISMS) scope the organization defines, including people, processes and technology inside that boundary.","Requires a documented ISMS with leadership commitment, risk assessment and treatment, a Statement of Applicability covering Annex A controls, internal audit and management review. Certification is issued by an accredited certification body after Stage 1 and Stage 2 audits. Surveillance audits occur annually with full recertification every three years.",voluntary,yes,ISMS scope statement|risk assessment|risk treatment plan|Statement of Applicability|policies|internal audit reports|management review minutes|certificate,every 3 years with annual surveillance audits,No statutory penalty; suspension or loss of the certificate can disqualify suppliers in RFPs and supplier portals.,soc2|iso27002|iso27701|nist-csf|cis-controls|csa-star,"Clauses 4 to 10 define the management system; Annex A of the 2022 revision contains 93 controls in four themes (organizational, people, physical, technological).",2026-08-20,https://www.iso.org/isoiec-27001-information-security.html|https://www.iso.org/standard/27001
iso27002,ISO/IEC 27002,ISO 27002; information security controls,Global,Global,security,standard,ISO/IEC,https://www.iso.org/standard/75652.html,Guidance control set supporting ISO/IEC 27001 Annex A,"Organizations implementing or auditing information security controls, typically alongside an ISO 27001 ISMS.",Guidance standard covering the information security controls referenced by ISO/IEC 27001 Annex A.,Provides implementation guidance and purpose statements for each control rather than certifiable management-system requirements. Organizations are not certified against ISO/IEC 27002 itself. It is commonly used to justify Statement of Applicability decisions.,voluntary,no,control implementation guidance|Statement of Applicability|policies|control design documentation,not applicable,unknown,iso27001|cis-controls|nist-800-53,"The 2022 revision organizes 93 controls into organizational, people, physical and technological themes with attributes for filtering.",2026-08-20,https://www.iso.org/standard/75652.html|https://www.iso.org/isoiec-27001-information-security.html
iso27017,ISO/IEC 27017,ISO 27017; cloud security controls,Global,Global,security,standard,ISO/IEC,https://www.iso.org/standard/43757.html,"Code of practice for information security controls for cloud services; linked catalogue entry is the 2015 edition, revised by ISO/IEC 27017:2026",Cloud service providers and cloud customers that need cloud-specific security guidance on top of an ISMS.,Covers cloud service provider and cloud service customer responsibilities for information security in cloud environments.,"Provides cloud-specific implementation guidance for ISO/IEC 27002 controls plus additional cloud controls, including shared responsibility, virtual environment segregation and administrative operations. It is usually assessed as an extension to an ISO/IEC 27001 certification scope.",voluntary,sometimes,shared responsibility matrix|cloud control mapping|ISMS documentation|certificate annex,aligned to the ISO 27001 certification cycle,unknown,iso27001|iso27018|csa-star,Adds cloud-specific guidance and supplementary controls layered on ISO/IEC 27002 control families.,2026-08-20,https://www.iso.org/standard/43757.html|https://www.iso.org/isoiec-27001-information-security.html
iso27018,ISO/IEC 27018,ISO 27018; PII in public clouds,Global,Global,privacy,standard,ISO/IEC,https://www.iso.org/standard/76559.html,"Code of practice for protecting personally identifiable information in public clouds acting as PII processors; linked entry is the 2019 edition, revised by ISO/IEC 27018:2025",Public cloud providers acting as processors of personally identifiable information.,Covers PII protection controls for public cloud service providers processing personal data on behalf of customers.,"Provides a code of practice with additional controls and guidance for cloud processors, including transparency about subprocessors, data location and return or deletion of data. It is typically certified as an extension to an ISO/IEC 27001 scope. It does not by itself establish legal compliance with privacy laws.",voluntary,sometimes,subprocessor list|data location documentation|deletion and return procedures|ISMS documentation|certificate annex,aligned to the ISO 27001 certification cycle,unknown,iso27001|iso27701|gdpr|iso27017,Extends ISO/IEC 27002 with PII-specific controls for public cloud processors.,2026-08-20,https://www.iso.org/standard/76559.html|https://www.iso.org/isoiec-27001-information-security.html
iso27701,ISO/IEC 27701,ISO 27701; PIMS; privacy extension to ISO 27001,Global,Global,privacy,certification,ISO/IEC,https://www.iso.org/standard/27701,Privacy information management system requirements and guidance; current edition ISO/IEC 27701:2025,"Vendors processing significant volumes of personal data for global or privacy-sensitive customers, usually as an extension to ISO 27001.","Covers a Privacy Information Management System (PIMS) for organizations acting as PII controllers, PII processors or both, within a defined ISMS scope.","Extends ISO/IEC 27001 and 27002 with privacy-specific requirements and controls for controllers and processors, including purpose limitation, data subject rights handling, records of processing and transfer transparency. Certification requires an existing or concurrent ISO/IEC 27001 certification. Annexes map controls to GDPR articles, which supports but does not prove legal compliance.",voluntary,yes,PIMS documentation|records of processing|DPIA records|data subject rights procedures|DPA templates|internal audit reports|certificate,every 3 years with annual surveillance audits,No statutory penalty; loss of the certificate can affect privacy-sensitive procurement and processor due diligence.,iso27001|gdpr|uk-gdpr-dpa2018|soc2|iso27018,Adds controller-specific and processor-specific control annexes on top of the ISO/IEC 27001 and 27002 control set.,2026-08-20,https://www.iso.org/standard/71670.html|https://www.iso.org/isoiec-27001-information-security.html
iso42001,ISO/IEC 42001,ISO 42001; AI management system; AIMS,Global,Global,ai,certification,ISO/IEC,https://www.iso.org/standard/42001,Certifiable artificial intelligence management system standard,"Organizations developing, providing or using AI systems that need a certifiable AI governance management system.","Covers an AI management system (AIMS) for the AI systems and roles inside the declared scope, for providers and users of AI.","Requires an AI management system with AI risk assessment, AI system impact assessment, defined roles across the AI lifecycle, and controls for data, model and third-party management. It is certifiable by accredited certification bodies. It is a governance standard and does not itself demonstrate conformity with AI legislation.",voluntary,yes,AIMS documentation|AI risk assessment|AI system impact assessment|model inventory|data governance records|internal audit reports|certificate,every 3 years with annual surveillance audits,No statutory penalty; increasingly requested in AI procurement and RFPs.,eu-ai-act|nist-ai-rmf|iso27001|iso27701,"Clause structure mirrors other ISO management systems, with Annex A AI controls and Annex B implementation guidance.",2026-08-20,https://www.iso.org/standard/81230.html|https://www.iso.org/artificial-intelligence/ai-management-systems
iso22301,ISO 22301,business continuity management system; BCMS,Global,Global,industry,certification,ISO,https://www.iso.org/standard/75106.html,Business continuity management system requirements,"Organizations with availability or resilience commitments, including SaaS vendors facing continuity questions in security reviews.","Covers a business continuity management system (BCMS) for the products, services and sites in the declared scope.","Requires business impact analysis, risk assessment, continuity strategies, documented plans, and exercising and testing of those plans. Certification is available from accredited bodies. Many buyers accept BCMS evidence without full certification.",voluntary,sometimes,business impact analysis|continuity plans|test and exercise reports|recovery objectives|management review minutes|certificate,every 3 years with annual surveillance audits,No statutory penalty; unmet availability commitments can trigger SLA credits or contractual remedies.,iso27001|dora|soc2|nis2,"Management-system clauses with continuity-specific requirements for BIA, strategy, plans, exercising and evaluation.",2026-08-20,https://www.iso.org/standard/75106.html|https://www.iso.org/iso-22301-business-continuity.html
